Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/retrieve/Observation?_id=00bd7c6a592e7875a0f24d5668d6baa8b14f8c2377cffff94bad1b5a,1,0,23609.01695000939,23609.01695000939,23609.01695000939,23609.01695000939,1549.0,0.0008360533767373236,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,GET /api/v1/retrieve/Observation?_id=00be9d4537a5f8c8982130b9edd4472edee2bb4f0e8adca67a458eea,1,0,14253.03023601009,14253.03023601009,14253.03023601009,14253.03023601009,1549.0,0.0008360533767373236,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,GET /api/v1/retrieve/Observation?_id=00cd76a1c5cdfbfdcb2a042cc2856055b9722700a2e3f3eb48f887e8,1,0,2581.576276003034,2581.576276003034,2581.576276003034,2581.576276003034,1549.0,0.0008360533767373236,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,GET /api/v1/retrieve/Observation?_id=00cd8a2a3aef175dcbdded498c927e8d567257b37923c505256100aa,1,0,21091.922120001982,21091.922120001982,21091.922120001982,21091.922120001982,1549.0,0.0008360533767373236,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,GET /api/v1/retrieve/Observation?_id=00cfdc2d2acf59cf6871ae41478d6b7d70a25ee3f16f5c216bb0e122,1,0,24814.44230899797,24814.44230899797,24814.44230899797,24814.44230899797,1549.0,0.0008360533767373236,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,GET /api/v1/retrieve/Observation?_id=00d702264c5681a45ad7a1e6b69518d9f5e58974714c02fa20ed50aa,1,0,26115.26771899662,26115.26771899662,26115.26771899662,26115.26771899662,1549.0,0.0008360533767373236,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,GET /api/v1/retrieve/Observation?_id=00da53b00cd1d8c2e498770869c9c39fe3d612573757e82e6a6a7841,1,0,23760.291518992744,23760.291518992744,23760.291518992744,23760.291518992744,1549.0,0.0008360533767373236,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,GET /api/v1/retrieve/Observation?_id=00e3f5f53bf111cb25064676e8f1b958e853911ff6d409a7841f78e0,1,0,32691.21214900224,32691.21214900224,32691.21214900224,32691.21214900224,1549.0,0.0008360533767373236,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,GET /api/v1/retrieve/Observation?_id=00ea8dbd6a461c5c47238cc56505366923a814087d010bec005cb383,1,0,47709.820769989165,47709.820769989165,47709.820769989165,47709.820769989165,1549.0,0.0008360533767373236,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,GET /api/v1/retrieve/Observation?_id=00effc1bafa2778d807203987174704f9fb85150f1bfc85325b7c004,1,0,33601.7426430044,33601.7426430044,33601.7426430044,33601.7426430044,1549.0,0.0008360533767373236,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
